Pu238 Pu239  Pu240  Pu241
0.126 75.804 21.204 2.18
0.133 75.515 21.408 2.24
0.127 75.175 21.668 2.305
0.156 78.872 18.428 1.906
0.503 73.317 20.223 4.128
0.113 79.116 18.548 1.69
0.129 75.751 21.162 2.26
0.124 75.326 21.557 2.282
1.022 63.287 24.493 6.99
1.412 59.553 25.576 8.027
1.533 58.688 25.719 8.279
1.534 58.758 25.692 8.261
1.437 59.728 25.146 8.377
1.439 59.544 25.126 8.569
1.375 59.877 25.128 8.428
1.153 61.182 25.1   7.802
0.201 78.244 18.488 2.351
0.176 78.166 18.629 2.365
0.239 74.254 21.515 2.901
0.102 79.84  17.872 1.674
1.07  62.455 24.656 7.512
0.851 73.189 18.285 5.597
0.125 75.968 20.794 2.407
0.142 75.957 20.867 2.341
0.352 72.885 21.718 3.618
0.351 72.907 21.721 3.601
0.346 72.919 21.713 3.6
0.217 76.089 20.225 2.556
1.068 70.129 18.573 7.689
1.171 69.273 18.633 8.3
1.213 69.147 18.64  8.363
1.226 68.294 18.869 8.826
1.111 71.076 18.122 7.248
0.183 75.714 20.75  2.488
0.162 76.15  20.345 2.524
0.113 77.845 19.108 2.275
1.309 62.382 22.754 9.311
1.638 60.112 23.32  9.972
1.589 60.519 23.128 9.97
1.411 61.585 23.133 9.339
1.457 61.332 23.239 9.321
0.397 72.291 21.761 3.836
0.328 73.451 21.429 3.419
0.242 74.888 20.939 2.875
1.367 60.507 23.603 9.839
